alpha,beta,P_sys,P_ser,P_p,P_f,BC_av,L_f,L_o
0.1,0,0,0.226,0,0.3663,1.3456,4.4401,0.233
0.1,0.1,0,0.2261,0.0035,0.2664,1.3452,4.2315,0.232
0.1,0.2,0.0013,0.228,0.0114,0.1686,1.3377,3.8129,0.227
0.1,0.3,0.0151,0.2421,0.0248,0.0825,1.2907,2.9867,0.201
0.1,0.4,0.0697,0.2876,0.035,0.0272,1.1593,1.8584,0.146
0.1,0.5,0.1666,0.3571,0.0332,0.0058,0.9825,0.9832,0.088
0.1,0.6,0.2733,0.4253,0.0251,0.0008,0.8291,0.5158,0.051
0.1,0.7,0.372,0.4829,0.0167,0.0001,0.7125,0.2787,0.031
0.1,0.8,0.4592,0.5308,0.01,0,0.624,0.1447,0.019
0.1,0.9,0.5356,0.571,0.0048,0,0.555,0.0594,0.013
0.5,0,0,0.2321,0,0.3519,1.3245,4.4279,0.108
0.5,0.1,0,0.2322,0.0194,0.252,1.3241,4.2044,0.108
0.5,0.2,0.0017,0.2344,0.063,0.155,1.3154,3.7466,0.105
0.5,0.3,0.0181,0.2502,0.1326,0.0723,1.2637,2.8668,0.092
0.5,0.4,0.077,0.2969,0.1781,0.0227,1.1311,1.7518,0.067
0.5,0.5,0.1744,0.3643,0.1644,0.0047,0.9628,0.9353,0.041
0.5,0.6,0.2794,0.4297,0.1233,0.0007,0.8178,0.5004,0.025
0.5,0.7,0.3764,0.4856,0.0825,0.0001,0.7062,0.2742,0.015
0.5,0.8,0.4624,0.5325,0.0493,0,0.6204,0.1434,0.01
0.5,0.9,0.538,0.5721,0.0236,0,0.5527,0.0591,0.007
0.9,0,0,0.2377,0,0.3381,1.3051,4.4161,0.018
0.9,0.1,0,0.2378,0.0389,0.2383,1.3045,4.1759,0.018
0.9,0.2,0.0021,0.2404,0.1255,0.1422,1.2944,3.6756,0.018
0.9,0.3,0.0213,0.2578,0.2533,0.0634,1.2382,2.7481,0.015
0.9,0.4,0.0839,0.3053,0.3245,0.0191,1.1056,1.6564,0.011
0.9,0.5,0.1815,0.3706,0.2927,0.0039,0.9453,0.8941,0.007
0.9,0.6,0.2849,0.4337,0.2186,0.0006,0.8077,0.4869,0.004
0.9,0.7,0.3805,0.4881,0.1465,0.0001,0.7005,0.27,0.003
0.9,0.8,0.4655,0.5341,0.0878,0,0.617,0.1422,0.002
0.9,0.9,0.5404,0.5731,0.042,0,0.5506,0.0588,0.001
