alpha,beta,P_sys,P_ser,P_p,P_f,BC_av,L_f,L_o
0.1,0,0,0.2314,0,0.366,1.3397,4.4248,1.421
0.1,0.1,0.0001,0.2317,0.0059,0.2663,1.3384,4.1414,1.42
0.1,0.2,0.0075,0.2408,0.0204,0.1752,1.3074,3.4234,1.41
0.1,0.3,0.0588,0.2859,0.03,0.1158,1.1816,2.3325,1.377
0.1,0.4,0.1522,0.3535,0.026,0.081,1.0229,1.5615,1.321
0.1,0.5,0.2484,0.4152,0.02,0.0495,0.8962,1.0958,1.213
0.1,0.6,0.3356,0.4682,0.0167,0.0213,0.7937,0.7222,0.978
0.1,0.7,0.415,0.5155,0.015,0.0048,0.7011,0.3991,0.637
0.1,0.8,0.4873,0.5573,0.0126,0.0004,0.6189,0.1835,0.369
0.1,0.9,0.552,0.5927,0.0093,0,0.5515,0.067,0.225
0.5,0,0,0.2387,0,0.3465,1.3123,4.4102,0.272
0.5,0.1,0.0001,0.239,0.0325,0.2469,1.3108,4.1045,0.272
0.5,0.2,0.0086,0.249,0.1098,0.1573,1.2766,3.3329,0.268
0.5,0.3,0.0633,0.296,0.1552,0.1011,1.1465,2.2221,0.255
0.5,0.4,0.1592,0.3641,0.1312,0.0689,0.9882,1.4662,0.241
0.5,0.5,0.2574,0.4258,0.1002,0.04,0.863,1.0108,0.222
0.5,0.6,0.3463,0.4782,0.0833,0.0158,0.7626,0.6492,0.188
0.5,0.7,0.4267,0.524,0.0728,0.0033,0.6746,0.3562,0.141
0.5,0.8,0.4989,0.5637,0.0591,0.0003,0.5991,0.1689,0.099
0.5,0.9,0.563,0.5975,0.0426,0,0.5372,0.0638,0.071
0.9,0,0,0.2442,0,0.3293,1.2895,4.3985,0.028
0.9,0.1,0.0002,0.2446,0.0635,0.2299,1.2878,4.0735,0.028
0.9,0.2,0.0096,0.2553,0.208,0.1416,1.2513,3.2619,0.027
0.9,0.3,0.0662,0.303,0.2843,0.0876,1.1203,2.15,0.025
0.9,0.4,0.1626,0.3705,0.2392,0.0564,0.9646,1.4034,0.023
0.9,0.5,0.2614,0.4319,0.1846,0.0301,0.8402,0.9419,0.021
0.9,0.6,0.352,0.4843,0.1523,0.0106,0.7401,0.586,0.018
0.9,0.7,0.4339,0.5296,0.128,0.002,0.655,0.3214,0.014
0.9,0.8,0.5069,0.5683,0.1003,0.0002,0.584,0.1573,0.011
0.9,0.9,0.5713,0.6012,0.071,0,0.5259,0.0612,0.009
