"","si","lambda_1","lambda_2","mu","alpha","c_l_1","c_l_2","c_r_1","c_r_2","c_r","c_h","S","s","PB1","PB2","Sav","RR","RV","TC","PT"
"62",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,21,0.374097065462754,0.115124153498871,0.884875846501129,2.30248306997742,1926.22742663657,178.498645598194,1747.72878103838
"63",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,21,0.441222348269994,0.144639818491208,0.855360181508792,2.89279636982416,1850.41477595008,221.33244469654,1629.08233125354
"64",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,22,0.412861491628615,0.126839167935058,0.873160832064942,2.53678335870117,1893.10629122273,196.711922881786,1696.39436834094
"65",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,22,0.383218812407575,0.113925238237778,0.886074761762223,2.27850476475555,1926.34482042255,177.94358779615,1748.4012326264
"66",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,22,0.450083589056005,0.143055095846914,0.856944904153086,2.86110191693828,1851.36891104217,220.279185203054,1631.08972583912
"67",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,23,0.421598533371875,0.125515373731534,0.874484626268466,2.51030747463068,1893.56961919396,195.965567709839,1697.60405148412
"68",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,23,0.392097007542547,0.112758334167464,0.887241665832536,2.25516668334927,1926.45907977944,177.403350108397,1749.05572967104
"69",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,23,0.458627004401219,0.141527212327651,0.858472787672349,2.83054424655302,1852.28882424439,219.263702886701,1633.02512135769
"70",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,24,0.430068666425732,0.124232020238525,0.875767979761474,2.48464040477051,1894.01879291652,195.242013010481,1698.77677990604
"71",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,24,0.400740089886817,0.11162233210688,0.88837766789312,2.23244664213761,1926.57031331454,176.877419021082,1749.69289429345
"72",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,24,0.466867484918659,0.14005350493258,0.85994649506742,2.80107009865159,1853.17611890518,218.284227828357,1634.89189107682
"73",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,25,0.438282647584973,0.12298747763864,0.87701252236136,2.45974955277281,1894.45438282648,194.540339892666,1699.91404293381
"74",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,25,0.409156097695511,0.11051617554933,0.88948382445067,2.21032351098661,1926.67862447746,176.365305406822,1750.31331907064
"75",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,25,0.474818988311464,0.138631477500185,0.861368522499815,2.77262955000371,1854.03229792176,217.339100995873,1636.69319692589
"76",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,26,0.446250645804118,0.121780205181194,0.878219794818806,2.43560410362388,1894.87692818658,193.859679681157,1701.01724850542
"77",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,26,0.417352691591155,0.109438857622192,0.890561142377808,2.18877715244384,1926.78411185783,175.866543117154,1750.91756874067
"78",3,50,200,20,0.3,2,6,5,10,0.01,0.2,120,26,0.482494611185735,0.137258787865442,0.862741212134558,2.74517575730885,1854.85877147268,216.426765708302,1638.43200576438
"79",1,50,200,20,0.3,2,6,5,10,0.01,0.2,120,27,0.453982281478882,0.120608745230472,0.879391254769528,2.41217490460945,1895.28693916933,193.19921056094,1702.08772860839
"80",2,50,200,20,0.3,2,6,5,10,0.01,0.2,120,27,0.425337176102084,0.108389418256024,0.891610581743976,2.16778836512048,1926.88686946243,175.38068767193,1751.5061817905
