"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_h","PB_l","RJ","N_h","N_l","W_l","W_h"
"21",30,15,35,10,35,20,0.5,5,21,0.00934105289945062,0.143579863477887,2.80936822178907,6.5860193522427,30.7961500105349,1.75829619975852,0.217483299902553
"22",30,15,35,10,35,20,0.5,5,22,0.00931940594847103,0.144648942408359,2.78530816240753,6.57364820912103,30.8839608715403,1.76110857293939,0.21707952376326
"23",30,15,35,10,35,20,0.5,5,23,0.00929282413394427,0.14596184821374,2.75576312224988,6.55845681185431,30.9827305151595,1.76402892709724,0.216583674203723
"24",30,15,35,10,35,20,0.5,5,24,0.00926006407673336,0.147579992784061,2.71935111565458,6.53973457439868,31.0933840475025,1.76697484360934,0.215972540439831
"25",30,15,35,10,35,20,0.5,5,25,0.00921950951303378,0.149583210002273,2.67427570472378,6.51655780866214,31.2168021327185,1.76981951091338,0.215215944731765
"26",30,15,35,10,35,20,0.5,5,26,0.00916902835190745,0.152076816580975,2.61816712224982,6.4877080334753,31.3537677728128,1.77237243880695,0.214274068485916
"27",30,15,35,10,35,20,0.5,5,27,0.00910575802066004,0.155202215474483,2.54784368832432,6.45154930036064,31.504888587158,1.77435067201029,0.213093435119107
"28",30,15,35,10,35,20,0.5,5,28,0.00902577282921866,0.159153327483549,2.45894209393639,6.4058380936476,31.6704805871099,1.77533454791121,0.211600681807786
"29",30,15,35,10,35,20,0.5,5,29,0.00892354945534963,0.164202995520751,2.34532330079604,6.34741785748104,31.8503882237856,1.77469727126274,0.209692545343868
"30",30,15,35,10,35,20,0.5,5,30,0.00879107073267551,0.170747256367467,2.19807642351831,6.27170681437282,32.043692747677,1.77148800847527,0.207219059871769
"31",30,15,35,10,35,20,0.5,5,31,0.00861624491378662,0.179383427257898,2.0037617790283,6.17179458059558,32.2482119390382,1.76422781056497,0.203953896231053
"32",30,15,35,10,35,20,0.5,5,32,0.00837994027574658,0.191056593089541,1.74111492272345,6.03674745547096,32.4595806891886,1.75053091930648,0.199538662411145
"33",30,15,35,10,35,20,0.5,5,33,0.00804997678403127,0.207356411706311,1.37436852911387,5.84817468211438,32.6694132173233,1.7263467280019,0.193369900389813
"34",30,15,35,10,35,20,0.5,5,34,0.00756767897374447,0.231181387093878,0.838306246438408,5.57254347456231,32.8612225470682,1.68428796913576,0.184345741815986
"35",30,15,35,10,35,20,0.5,5,35,0.00681345081766328,0.24011639436021,2.1492685157299,5.14150519697443,33.0000164822833,1.67174476738199,0.170215793472869
"36",30,15,35,10,35,20,0.5,10,1,0.0167826736617718,0.061535191694188,4.08934817533331,8.84550198087675,25.4649178643551,1.59319528413969,0.289901693591905
"37",30,15,35,10,35,20,0.5,10,2,0.0167516356563249,0.0616726350271156,4.07661646967028,8.83397002155034,25.5204554695881,1.5964361155791,0.289532885811681
"38",30,15,35,10,35,20,0.5,10,3,0.0167241535834039,0.0618630107400379,4.06534339788611,8.82375924471184,25.5953347141242,1.60079534985397,0.289206311330676
"39",30,15,35,10,35,20,0.5,10,4,0.016698741571843,0.0621007892972372,4.05491945965812,8.81431758505934,25.6860855959428,1.60606396043189,0.288904319119143
"40",30,15,35,10,35,20,0.5,10,5,0.0166742744848358,0.062383000184905,4.04488312691955,8.80522700568288,25.7902786752458,1.61209358105861,0.288613541122961
"41",30,15,35,10,35,20,0.5,10,6,0.0166498775314777,0.0627086418774374,4.03487556281363,8.79616248398561,25.9062305401043,1.61877906711804,0.288323581862676
"42",30,15,35,10,35,20,0.5,10,7,0.0166248469185734,0.0630782871125502,4.02460807328026,8.78686253040382,26.0327948808735,1.62604605140238,0.288026076198043
"43",30,15,35,10,35,20,0.5,10,8,0.0165985918278541,0.0634938289470629,4.01383830626782,8.77710763043759,26.1692131257636,1.63384197225847,0.287714000115027
"44",30,15,35,10,35,20,0.5,10,9,0.0165705910612869,0.0639583318570501,4.00235246775663,8.76670413651099,26.3150069612775,1.64212953421517,0.287381155576986
"45",30,15,35,10,35,20,0.5,10,10,0.0165403596775931,0.0644759648224834,3.98995163614924,8.75547187199789,26.4699005369134,1.65088187740272,0.287021773936266
"46",30,15,35,10,35,20,0.5,10,11,0.0165074222421409,0.0650520023233763,3.97644078944909,8.74323419240215,26.6337638179367,1.66007894347814,0.286630197794208
"47",30,15,35,10,35,20,0.5,10,12,0.016471290162496,0.0656928859696358,3.96161950836456,8.72980956453564,26.8065710476554,1.66970466883899,0.286200611271161
"48",30,15,35,10,35,20,0.5,10,13,0.0164314411216826,0.0664063450880887,3.94527353988864,8.71500392508685,26.9883700068408,1.67974473298677,0.285726795040552
"49",30,15,35,10,35,20,0.5,10,14,0.0163872989322846,0.067201579740335,3.92716653350583,8.69860319554942,27.179258962273,1.69018465492244,0.285201886156354
"50",30,15,35,10,35,20,0.5,10,15,0.0163382122610699,0.0680895149893914,3.90703131409067,8.68036537750135,27.3793690401929,1.70100807210204,0.284618124182003
"51",30,15,35,10,35,20,0.5,10,16,0.0162834306320637,0.0690831414415137,3.88456003843342,8.66001163671041,27.5888503497952,1.71219505992477,0.283966564598372
"52",30,15,35,10,35,20,0.5,10,17,0.0162220758969575,0.0701979649806014,3.85939249247942,8.63721570315928,27.807860586922,1.72372035755039,0.283236737816141
"53",30,15,35,10,35,20,0.5,10,18,0.0161531069284349,0.071452599311887,3.83110160862694,8.61159075309134,28.0365551142947,1.73555135837516,0.282416226894424
"54",30,15,35,10,35,20,0.5,10,19,0.0160752745700222,0.072869550110599,3.79917498627792,8.58267267093465,28.2750776692681,1.74764569867776,0.281490128373492
"55",30,15,35,10,35,20,0.5,10,20,0.0159870627345939,0.0744762618373962,3.76299073060502,8.54989816485352,28.5235509052353,1.75994823063232,0.28044034688392
"56",30,15,35,10,35,20,0.5,10,21,0.0158866097600925,0.0763065318513184,3.72178519288077,8.51257554700204,28.782065925143,1.77238708632529,0.279244652707784
"57",30,15,35,10,35,20,0.5,10,22,0.0157716013262033,0.0784024483475057,3.67460904518833,8.46984494744495,29.0506697925152,1.78486841030981,0.277875397654636
"58",30,15,35,10,35,20,0.5,10,23,0.0156391217531737,0.0808170909205295,3.62026628360009,8.42062306524734,29.3293496554784,1.79726912918211,0.276297730529745
"59",30,15,35,10,35,20,0.5,10,24,0.0154854431784229,0.0836183665063089,3.55722774899492,8.36352483848155,29.6180114919694,1.80942678345639,0.274467064994131
"60",30,15,35,10,35,20,0.5,10,25,0.0153057198060358,0.0868945779974048,3.48350570902963,8.29674984471085,29.9164503885876,1.8211248704594,0.272325403876231
"61",30,15,35,10,35,20,0.5,10,26,0.0150935331069692,0.0907627116721233,3.39646730049704,8.21791332322673,30.224307334031,1.83207114946552,0.269795865880414
"62",30,15,35,10,35,20,0.5,10,27,0.0148401955341923,0.0953811282260837,3.29254891516466,8.12378747515607,30.541004011232,1.84186457276556,0.266774296018218
"63",30,15,35,10,35,20,0.5,10,28,0.014533648499415,0.10096965161164,3.16680415281728,8.00989201422744,30.8656404978796,1.84994316866924,0.263115968639146
"64",30,15,35,10,35,20,0.5,10,29,0.0141566489906874,0.107842627238951,3.01215997671402,7.86982041690276,31.1968278282023,1.85549866357918,0.258613671054697
"65",30,15,35,10,35,20,0.5,10,30,0.0136836444414232,0.11646589507801,2.81813479333669,7.69407880126811,31.5324003399414,1.85733007402613,0.252959858754909
"66",30,15,35,10,35,20,0.5,10,31,0.0130750769872427,0.127560627881648,2.56850207399277,7.4679697124935,31.8688923414979,1.85357842830158,0.245677514452142
"67",30,15,35,10,35,20,0.5,10,32,0.0122662582276843,0.142306154722851,2.23672681224003,7.16745861639191,32.2005168877765,1.84121234329259,0.235984690605567
"68",30,15,35,10,35,20,0.5,10,33,0.0111436356041022,0.162772648058627,1.7762300564627,6.75035583392765,32.5169882356025,1.81494079690681,0.222504410943878
"69",30,15,35,10,35,20,0.5,10,34,0.00948789743949996,0.192958375051221,1.0970507515034,6.1351776066403,32.7983029160834,1.76463971206388,0.202565589024513
"70",30,15,35,10,35,20,0.5,10,35,0.00681345081766328,0.196988167777274,2.86907253082212,5.14150519697443,33.0000164822833,1.76662691325456,0.170215793472869
