"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"12",25,35,30,20,10,10,0.7,2,2,0.314515393680653,0.0398392441418491,4.01861873177467,4.11299708515159,8.2716602103786,0.162002735511965,0.157965535604861,27.1563066561975
"13",25,35,30,20,10,10,0.7,2,3,0.315286309503236,0.0397088724355052,3.95864309436319,4.10070373723678,8.28861418860672,0.16215221743385,0.157514776625562,27.1702194321956
"14",25,35,30,20,10,10,0.7,2,4,0.316602972310196,0.0395093553634989,3.86685812119981,4.08189035471769,8.31427439351239,0.162341440226395,0.156824699925532,27.2010843525692
"15",25,35,30,20,10,10,0.7,2,5,0.318764561609224,0.0392005356823199,3.7247900472033,4.05277032637612,8.35061830237422,0.162535346287198,0.155755982343391,27.2574907693191
"16",25,35,30,20,10,10,0.7,2,6,0.322257913009378,0.0387173536789114,3.50250908262251,4.00720887258643,8.39957804672896,0.162649930149448,0.154082413976049,27.3534976536992
"17",25,35,30,20,10,10,0.7,2,7,0.327894791510644,0.037951587113149,3.15022913494102,3.93500122049351,8.4623880866323,0.162503288836681,0.151426467155344,27.5126181914778
"18",25,35,30,20,10,10,0.7,2,8,0.337082397217065,0.0367158753831899,2.58175764109093,3.81848027707104,8.5381465266362,0.161716789361346,0.147131257242597,27.7756725174213
"19",25,35,30,20,10,10,0.7,2,9,0.35241170864588,0.0346654808424223,1.63850298119476,3.62513914379036,8.62057859953396,0.159502450450174,0.139978878090007,28.2178678637437
"20",25,35,30,20,10,10,0.7,2,10,0.323334713602983,0.0311037941521673,4.48565341394982,3.2892913216308,8.69004945795227,0.168007280150558,0.127479275258252,27.3318781693071
"21",25,35,30,20,10,10,0.7,3,1,0.287878216268521,0.0478752100768055,4.98094072582425,4.67863184034858,8.12774706400785,0.165369878198273,0.178185654324794,26.390390191136
"22",25,35,30,20,10,10,0.7,3,2,0.288459685128243,0.0476822587860687,4.9236361460291,4.66264779657051,8.14287848393908,0.165542466297842,0.177612888708246,26.387602956302
"23",25,35,30,20,10,10,0.7,3,3,0.289517304979673,0.0474021410016269,4.84044400012899,4.63944289904205,8.16776641798215,0.1658016199127,0.176780934902907,26.3985009021782
"24",25,35,30,20,10,10,0.7,3,4,0.291273674702039,0.0469874439618616,4.71728317795827,4.60508948470142,8.20430952787828,0.166131718380006,0.175548324023986,26.4279672857543
