"","lambda_h","lambda_l","lambda_tilda","mu","mu_f","mu_s","alpha","r_h","r_l","gamma","piSum","RJ","N_h","N_l"
"17",45,15,10.4768258526471,0.75,60,15,0.5,5,17,0.698455056843139,0.986679580525515,0.0602505769988894,3.0078133986843,45.6245891219919
"18",45,15,10.4768258526471,0.75,60,15,0.5,5,18,0.698455056843139,0.990663136364408,0.0422322602138685,3.00547675229642,51.161740371122
"19",45,15,10.4768258526471,0.75,60,15,0.5,5,19,0.698455056843139,0.993462350736384,0.0295709261336471,3.00383480866221,56.9793994494795
"20",45,15,10.4768258526471,0.75,60,15,0.5,5,20,0.698455056843139,0.995425775148046,0.0206900155945386,3.00268311687103,63.0807897506367
"21",45,15,10.4768258526471,0.75,60,15,0.5,5,21,0.698455056843139,0.996801209574354,0.0144686861560829,3.00187632414263,69.4689636911293
"22",45,15,10.4768258526471,0.75,60,15,0.5,5,22,0.698455056843139,0.997763882155658,0.0101143504239591,3.00131164637713,76.1466537144547
"23",45,15,10.4768258526471,0.75,60,15,0.5,5,23,0.698455056843139,0.998437240771276,0.00706863214190085,3.00091667237889,83.1162164346602
"24",45,15,10.4768258526471,0.75,60,15,0.5,5,24,0.698455056843139,0.998908028073792,0.00493917918626231,3.00064052124799,90.3796311870404
"25",45,15,10.4768258526471,0.75,60,15,0.5,5,25,0.698455056843139,0.999237084640082,0.00345079903260111,3.0004475055434,97.9385277592892
"26",45,15,10.4768258526471,0.75,60,15,0.5,5,26,0.698455056843139,0.999467029532484,0.00241071823997193,3.0003126260729,105.794227535966
"27",45,15,10.4768258526471,0.75,60,15,0.5,5,27,0.698455056843139,0.999627691193245,0.00168401756954445,3.00021838627699,113.947788635701
"28",45,15,10.4768258526471,0.75,60,15,0.5,5,28,0.698455056843139,0.999739933223856,0.00117632731843889,3.00015254812987,122.400049740334
"29",45,15,10.4768258526471,0.75,60,15,0.5,5,29,0.698455056843139,0.999818342453115,0.000821668719739949,3.00010655539128,131.151669909552
"30",45,15,10.4768258526471,0.75,60,15,0.5,5,30,0.698455056843139,0.999873114224181,0.00057392646085075,3.00007442774799,140.203163254366
"31",45,15,10.4768258526471,0.75,60,15,0.5,5,31,0.698455056843139,0.999911372990909,0.000400875396276428,3.00005198618756,149.554928263572
"32",45,15,10.4768258526471,0.75,60,15,0.5,5,32,0.698455056843139,0.999938096555028,0.000280000061928581,3.00003631086579,159.207272079484
"33",45,15,10.4768258526471,0.75,60,15,0.5,5,33,0.698455056843139,0.999956762512427,0.00019557068598498,3.00002536191875,169.160430262224
"34",45,15,10.4768258526471,0.75,60,15,0.5,5,34,0.698455056843139,0.999969800210127,0.000136598908807326,3.000017714357,179.414582669503
"35",45,15,10.4768258526471,0.75,60,15,0.5,5,35,0.698455056843139,0.99997890663426,9.54089665941668e-05,3.00001237277428,189.969866077796
"36",45,15,8.86813816419993,0.75,60,15,0.5,10,1,0.591209210946662,0.00570707343342598,6.09686685001954,4.69181713949569,0.0141551147321397
"37",45,15,8.86813816419993,0.75,60,15,0.5,10,2,0.591209210946662,0.0117026728096494,6.06010266302173,4.68161545997512,0.0316429800699907
"38",45,15,8.86813816419993,0.75,60,15,0.5,10,3,0.591209210946662,0.0216809957218699,5.99891696557099,4.66463706530338,0.0770123809245532
"39",45,15,8.86813816419993,0.75,60,15,0.5,10,4,0.591209210946662,0.0381078766870361,5.89818960109946,4.63668626929229,0.187033564217984
"40",45,15,8.86813816419993,0.75,60,15,0.5,10,5,0.591209210946662,0.0646721116052767,5.73530138280707,4.59148648285901,0.435730674193349
"41",45,15,8.86813816419993,0.75,60,15,0.5,10,6,0.591209210946662,0.106413450480369,5.47934925998369,4.52046243084319,0.960455753522663
"42",45,15,8.86813816419993,0.75,60,15,0.5,10,7,0.591209210946662,0.169131641031231,5.09476998093443,4.41374568078034,1.98944416736035
"43",45,15,8.86813816419993,0.75,60,15,0.5,10,8,0.591209210946662,0.257302971080271,4.55411556719499,4.26371970412333,3.84423080465963
"44",45,15,8.86813816419993,0.75,60,15,0.5,10,9,0.591209210946662,0.370326617615769,3.86107018246101,4.07140681798002,6.8703303478868
"45",45,15,8.86813816419993,0.75,60,15,0.5,10,10,0.591209210946662,0.499227740292993,3.07066630772476,3.85207796345238,11.2783332528672
"46",45,15,8.86813816419993,0.75,60,15,0.5,10,11,0.591209210946662,0.628026608667256,2.28088944224638,3.63292309747249,16.9906584933906
